MP,TOT_MP,L1,L2,H,AREA,VOL,#PER_LC,TC,CAST,INT
113.04.002.61I/,180,1200,800,700,0.96,0.672,12,0.0079365079365079,1,0
THY0027GI/,180,1200,800,700,0.96,0.672,6,0.12531328320802,1,0
THY0032GI/,180,1200,800,750,0.96,0.72,6,0.0193050193050193,1,0
730.06.027.03I1,176,1200,800,800,0.96,0.768,6,0.0285714285714286,1,0
THY0035GI/,174,1200,800,645,0.96,0.6192,1,0.0714285714285714,1,0
THY0036GI/,174,1200,800,800,0.96,0.768,6,0.0119047619047619,1,0
2817.001.002I2,173,1200,800,700,0.96,0.672,6,0.119047619047619,1,0
10158698IA,171,1200,800,600,0.96,0.576,12,0.106609808102345,1,0
THY0033GI/,168,1200,800,870,0.96,0.8352,12,0.0714285714285714,1,0
THY0034GI/,168,1200,800,800,0.96,0.768,12,0.0714285714285714,1,0
10061119IA,160,1200,800,800,0.96,0.768,6,0.0119047619047619,1,0
755.06.108.61I/,160,1200,800,1000,0.96,0.96,6,0.0079365079365079,1,0
730.06.027.62I/,160,1200,800,750,0.96,0.72,6,0.0759878419452888,1,0
S321PM0101020I0,160,1200,800,810,0.96,0.7776,6,0.0476190476190476,1,0
730.04.714.03I2,155,1200,800,645,0.96,0.6192,6,0.0714285714285714,1,0
M416150050050I0,154,1200,800,360,0.96,0.3456,6,0.0193050193050193,1,0
755.01.061.61I/,153,1200,800,800,0.96,0.768,6,0.0265533722782793,1,0
740.07.006.01I0,150,1200,800,930,0.96,0.8928,6,0.0183150183150183,1,0
4220940RHI/,150,1200,800,645,0.96,0.6192,6,0.0079365079365079,1,0
112.04.069.61I/,144,1200,800,810,0.96,0.7776,4,0.0680272108843538,1,0
112.04.758.02I0,144,1200,800,800,0.96,0.768,6,0.0183150183150183,1,0
112.04.761.04I0,144,1200,800,720,0.96,0.6912,4,0.147275405007364,1,0
THY0042GI/,140,1200,800,910,0.96,0.8736,6,0.0055803571428571,1,0
