node_id,x_node,y_node,capacity,x,y
,,,,375.31,311.705
,,,,382.49,290.165
,,,,382.49,300.935
,,,,382.49,311.705
,,,,389.67,290.165
,,,,389.67,300.935
,,,,389.67,311.705
,,,,396.85,290.165
,,,,396.85,300.935
,,,,396.85,311.705
,,,,404.03,290.165
,,,,404.03,300.935
,,,,404.03,311.705
,,,,411.21,290.165
,,,,411.21,300.935
,,,,411.21,311.705
,,,,418.39,290.165
,,,,418.39,300.935
,,,,418.39,311.705
,,,,425.57,290.165
,,,,425.57,300.935
,,,,425.57,311.705
,,,,432.75,290.165
,,,,432.75,300.935
,,,,432.75,311.705
,,,,439.93,290.165
,,,,439.93,300.935
,,,,439.93,311.705
,,,,447.11,290.165
,,,,447.11,300.935
,,,,447.11,311.705
,,,,454.29,290.165
,,,,454.29,300.935
,,,,454.29,311.705
,,,,461.47,290.165
,,,,461.47,300.935
,,,,461.47,311.705
,,,,468.65,290.165
,,,,468.65,300.935
,,,,468.65,311.705
,,,,475.83,290.165
,,,,475.83,300.935
,,,,475.83,311.705
,,,,483.01,290.165
,,,,483.01,300.935
,,,,483.01,311.705
,,,,490.19,290.165
,,,,490.19,300.935
,,,,490.19,311.705
,,,,497.37,290.165
,,,,497.37,300.935
,,,,497.37,311.705
,,,,504.55,290.165
,,,,504.55,300.935
,,,,504.55,311.705
,,,,511.73,290.165
,,,,511.73,300.935
,,,,511.73,311.705
,,,,518.91,290.165
,,,,518.91,300.935
,,,,518.91,311.705
,,,,526.09,290.165
,,,,526.09,300.935
,,,,526.09,311.705
,,,,533.27,290.165
,,,,533.27,300.935
,,,,533.27,311.705
,,,,540.45,290.165
,,,,540.45,300.935
,,,,540.45,311.705
,,,,547.63,290.165
,,,,547.63,300.935
,,,,547.63,311.705
,,,,554.81,290.165
,,,,554.81,300.935
,,,,554.81,311.705
,,,,561.99,290.165
,,,,561.99,300.935
,,,,561.99,311.705
,,,,569.17,290.165
,,,,569.17,300.935
,,,,569.17,311.705
,,,,576.35,290.165
,,,,576.35,300.935
,,,,576.35,311.705
,,,,583.53,290.165
,,,,583.53,300.935
,,,,583.53,311.705
,,,,590.71,290.165
,,,,590.71,300.935
,,,,590.71,311.705
,,,,597.89,139.385
,,,,597.89,150.155
,,,,597.89,160.925
,,,,597.89,171.695
,,,,597.89,182.465
,,,,597.89,193.235
,,,,597.89,204.005
,,,,597.89,214.775
,,,,597.89,225.545
,,,,597.89,236.315
,,,,597.89,247.085
,,,,597.89,257.855
,,,,597.89,268.625
,,,,597.89,279.395
,,,,597.89,290.165
,,,,597.89,300.935
,,,,597.89,311.705
,,,,605.07,139.385
,,,,605.07,150.155
,,,,605.07,160.925
,,,,605.07,171.695
,,,,605.07,182.465
,,,,605.07,193.235
,,,,605.07,204.005
,,,,605.07,214.775
,,,,605.07,225.545
,,,,605.07,236.315
,,,,605.07,247.085
,,,,605.07,257.855
,,,,605.07,268.625
,,,,605.07,279.395
,,,,605.07,290.165
,,,,605.07,300.935
,,,,605.07,311.705
,,,,21.59,140.25
,,,,28.77,140.25
,,,,35.95,140.25
,,,,43.13,140.25
,,,,50.31,140.25
,,,,57.49,140.25
,,,,64.67,140.25
,,,,71.85,140.25
,,,,79.03,140.25
,,,,86.21,140.25
,,,,93.39,140.25
,,,,100.57,140.25
,,,,153.59,140
,,,,160.77,140
,,,,167.95,140
,,,,175.13,140
,,,,182.31,140
,,,,189.49,140
,,,,196.67,140
,,,,203.85,140
,,,,211.03,140
